text,label
It would make sure I didn’t catch anything,prevention
We’d be safer,prevention
There’s less riskIt keeps us safe,prevention
We wouldn’t catch anything,prevention
Wouldn’t pass on anything,prevention
It could prevent something serious,prevention
I would avoid a serious infection,prevention
Avoid health issues,prevention
Avoid health problems,prevention
Reduces risk,prevention
Decreases the risk,prevention
Decreases the chances of getting something,prevention
No consequences for health,prevention
Protects health,prevention
Protects myself,prevention
Protects us,prevention
Makes sure nothing bad happens,prevention
It would prevent infections,prevention
It would reduce the chances of getting infected,prevention
It could stop me from getting infected,prevention
It would protect me from STIs,prevention
It provides protection from infections,prevention
It would help me avoid an infection,prevention
It would reduce STIs,prevention
Would prevent infections,prevention
No STIs,prevention
Less chance of STDs,prevention
Safer from STIs,prevention
Can’t transmit infections,prevention
Limits spread of STDs,prevention
Decrease chances of getting infected,prevention
Can’t get infected,prevention
Can’t spread,prevention
Won’t infect,prevention
Won’t infect others,prevention
Wont’ get infected,prevention
Won’t spread,prevention
Won’t pass it on,prevention
Won’t pass on infections,prevention
Would be safer,prevention
Less chance of passing it on,prevention
Wouldn't get an STI from my partner,prevention
Keeps us safe from being infected,prevention
I wouldn’t feel anxious about infections,fear
I wouldn’t be scared,fear
I would be less afraid of getting infected,fear
It would be less scary,fear
I wouldn’t feel frightened,fear
I would be less worried about being infected,fear
I’d feel better,fear
Not scared of infections,fear
Not afraid of infection,fear
Not worried about getting infected,fear
Not scared of being infected,fear
Less anxious about STIs,fear
Feel less stressed about infections,fear
More comfortable,fear
Feel more calm,fear
I’d be at ease,fear
I’d be more relaxed,fear
I would feel calmer,fear
Less concerned about STIs,fear
I could be sure about not getting infected,fear
I'd be more certain that I won't get an STI,fear
Not too concerned about my health,fear
Not worried about possible side effects of STDs,fear
Wouldn't be scared of getting pregnant,fear
Wouldn't worry about getting an STI,fear
Don't have to be concerned about infections,fear
Less anxiety,fear
Won't be as stressed about catching an infection,fear
The stress won't get in the way while we're having sex,fear
It's better if you're not worried about STDs when you're doing it,fear
One less thing to be scared about,fear
It'll be one less thing to worry about in the future,fear
I’d be scared of getting something,fear
Constantly scared of getting an STI,fear
I’d be anxious about catching something,fear
Getting an infection sounds scary,fear
I’d be anxious about what I’d catch if I slept with them,fear
I would be afraid of STIs,fear
Stressed about infections,fear
Could become a real problem later,fear
Wouldn't get pregnant,prevention
Avoid pregnancy,prevention
Protects from pregnancy,prevention
Makes sure I won't become pregnant,prevention
Reduces the chances of getting knocked up,prevention
Won't have to pay child support,prevention
Less chance of knocking someone up,prevention
Won't end up accidentally making a baby,prevention
Won't suddenly become a parent,prevention
Wouldn't be scared of getting pregnant,fear
No concern of pregnancy,fear
Less anxiety about becoming pregnant,fear
I'd be afraid of getting pregnant,fear
Won't have to worry about getting knocked up,fear
No need to panic about accidentally knocking someone up,fear
Won't need to worry about paying child support,fear
Wouldn't have to panic about accidentally making a baby,fear
Wouldn't be scared of suddenly becoming a parent,fear
