not all the time,mostly
it depends,sometimes
not as much as I should,sometimes
just for the first few times,beginning
only for a bit,beginning
maybe for the first month or so,beginning
until I trust him,beginning
when I can remember,sometimes
not-at-all,not-at-all
not much,not-at-all
not a lot,not-at-all
never,not-at-all
hardly,not-at-all
almost never,not-at-all
rarely,not-at-all
occasionally,sometimes
sometimes,sometimes
now and then,sometimes
once in a while,sometimes
not often,sometimes
often,mostly
mostly,mostly
most of the time,mostly
quite often,mostly
pretty often,mostly
frequently,mostly
always,always
all the time,always
generally,always
usually,always
